filename,label,ipd_px,left_eye_open,right_eye_open,eye_aperture_asymmetry,eye_aperture_ratio,mouth_corner_height_diff,mouth_left_deviation,mouth_right_deviation,mouth_deviation_asymmetry,left_brow_height,right_brow_height,brow_height_asymmetry,brow_height_ratio,mouth_width,mouth_angle,eye_angle,left_eye_width,right_eye_width,eye_width_asymmetry
27/2196,SlightPalsy,72.109,0.1423,0.1303,0.012,0.9159,0.0688,0.3126,0.475,0.1624,0.3308,0.3301,0.0007,0.9978,0.7906,4.9934,0.0596,0.421,0.4471,0.0261
27/2201,SlightPalsy,71.938,0.1426,0.1297,0.0129,0.9096,0.0807,0.3201,0.497,0.1769,0.3333,0.3301,0.0032,0.9904,0.8211,5.6398,0.0734,0.4175,0.4451,0.0276
27/2206,SlightPalsy,71.706,0.1516,0.1371,0.0144,0.9049,0.0843,0.3184,0.5119,0.1936,0.3314,0.3296,0.0018,0.9947,0.8346,5.7977,0.0211,0.4168,0.4416,0.0249
27/2211,SlightPalsy,70.701,0.1563,0.1386,0.0177,0.8865,0.1034,0.3394,0.5472,0.2078,0.3377,0.3308,0.0069,0.9797,0.8926,6.6534,0.3131,0.4164,0.4389,0.0225
27/2216,SlightPalsy,71.135,0.1441,0.1166,0.0276,0.8087,0.1087,0.3391,0.5072,0.1681,0.337,0.3334,0.0036,0.9892,0.8533,7.3213,0.1248,0.4192,0.4405,0.0213
27/2221,SlightPalsy,71.83,0.1287,0.0954,0.0332,0.7418,0.0794,0.2842,0.4393,0.1551,0.3418,0.3358,0.006,0.9825,0.7278,6.2614,0.0913,0.4129,0.433,0.0201
27/2226,SlightPalsy,71.906,0.1346,0.1056,0.0289,0.7849,0.078,0.2884,0.4465,0.1582,0.3424,0.3386,0.0038,0.9889,0.7391,6.0598,0.3133,0.4137,0.4347,0.021
27/2231,SlightPalsy,72.533,0.1404,0.1156,0.0249,0.8229,0.0609,0.2735,0.4405,0.167,0.3357,0.3337,0.002,0.9942,0.7166,4.8728,0.17,0.4139,0.4347,0.0208
27/2236,SlightPalsy,72.431,0.1429,0.1236,0.0193,0.8651,0.0674,0.3187,0.4527,0.1339,0.3276,0.3219,0.0056,0.9828,0.7743,4.9924,0.1906,0.4203,0.4435,0.0233
27/2241,SlightPalsy,72.898,0.1471,0.1297,0.0174,0.8817,0.07,0.3379,0.4833,0.1454,0.3255,0.3252,0.0003,0.9992,0.8242,4.8716,0.3065,0.4215,0.4401,0.0186
27/2246,SlightPalsy,72.669,0.1491,0.1327,0.0164,0.8902,0.0775,0.3347,0.4914,0.1567,0.3259,0.3227,0.0032,0.9901,0.8297,5.3572,0.1266,0.419,0.4421,0.0231
27/2251,SlightPalsy,71.197,0.1182,0.0347,0.0835,0.2937,0.1396,0.2968,0.5126,0.2158,0.3443,0.3404,0.0039,0.9888,0.8214,9.7826,0.4768,0.4195,0.4517,0.0322
27/2256,SlightPalsy,70.989,0.1395,0.1044,0.0351,0.7484,0.1134,0.2964,0.486,0.1896,0.338,0.3319,0.006,0.9821,0.7905,8.2481,0.2623,0.421,0.4382,0.0172
27/2261,SlightPalsy,71.276,0.1474,0.1268,0.0206,0.8601,0.0877,0.3207,0.4866,0.1659,0.3285,0.332,0.0035,0.9896,0.8121,6.2011,0.5235,0.4169,0.4385,0.0216
27/2266,SlightPalsy,71.412,0.1507,0.1286,0.0221,0.8535,0.0931,0.3271,0.5049,0.1778,0.3291,0.3269,0.0022,0.9934,0.8372,6.3851,0.2669,0.4219,0.4443,0.0224
27/2271,SlightPalsy,71.659,0.1464,0.1227,0.0237,0.8381,0.0771,0.2875,0.4829,0.1953,0.3361,0.3307,0.0054,0.9838,0.7742,5.7142,0.2197,0.4181,0.4381,0.02
27/2276,SlightPalsy,71.824,0.1422,0.1226,0.0197,0.8618,0.0802,0.3044,0.4622,0.1577,0.3399,0.335,0.0048,0.9858,0.7708,5.9701,0.3826,0.4096,0.4372,0.0275
27/2281,SlightPalsy,71.958,0.1444,0.1274,0.0171,0.8817,0.0898,0.3061,0.4675,0.1614,0.3455,0.3379,0.0076,0.978,0.7788,6.6193,0.1664,0.4142,0.4397,0.0255
27/2286,SlightPalsy,71.451,0.1548,0.1301,0.0247,0.8402,0.1173,0.3144,0.4865,0.1722,0.3411,0.3388,0.0023,0.9932,0.8094,8.3291,0.1815,0.415,0.4364,0.0215
27/2291,SlightPalsy,72.045,0.1508,0.1335,0.0174,0.885,0.0603,0.2668,0.4062,0.1394,0.335,0.3382,0.0032,0.9906,0.6757,5.1229,0.295,0.4246,0.448,0.0233
27/2296,SlightPalsy,71.422,0.1589,0.1361,0.0228,0.8562,0.1186,0.3225,0.483,0.1605,0.341,0.3413,0.0002,0.9993,0.8142,8.3757,0.4939,0.4171,0.4352,0.0181
27/2301,SlightPalsy,71.222,0.1437,0.1013,0.0423,0.7054,0.134,0.3222,0.5311,0.2089,0.3412,0.3375,0.0036,0.9893,0.8637,8.9269,0.3745,0.4197,0.4305,0.0108
27/2306,SlightPalsy,71.153,0.1414,0.105,0.0364,0.7424,0.1178,0.3436,0.5431,0.1994,0.3406,0.3423,0.0017,0.9951,0.8945,7.5686,0.3077,0.4177,0.4303,0.0126
27/2311,SlightPalsy,71.683,0.098,0.0133,0.0847,0.1355,0.1293,0.3103,0.5843,0.274,0.3599,0.371,0.0111,0.9701,0.9039,8.2222,0.3125,0.4105,0.4567,0.0462
27/2316,SlightPalsy,70.792,0.1272,0.0852,0.042,0.6699,0.1167,0.342,0.5313,0.1893,0.3456,0.3411,0.0044,0.9872,0.8811,7.6101,0.1468,0.421,0.4394,0.0184
27/2321,SlightPalsy,70.858,0.1333,0.1051,0.0282,0.7882,0.0962,0.3445,0.5006,0.1561,0.3454,0.3469,0.0015,0.9958,0.8505,6.4963,0.2334,0.4187,0.4356,0.0168
27/2326,SlightPalsy,70.314,0.1444,0.1194,0.025,0.8267,0.1009,0.3368,0.5093,0.1725,0.3462,0.345,0.0013,0.9963,0.8521,6.8011,0.0557,0.4178,0.4336,0.0158
27/2331,SlightPalsy,70.29,0.1516,0.1222,0.0294,0.806,0.1204,0.3297,0.5007,0.171,0.3518,0.3534,0.0016,0.9954,0.8391,8.2466,0.8548,0.4207,0.4318,0.0111
27/2336,SlightPalsy,70.201,0.148,0.1255,0.0225,0.8482,0.1114,0.3006,0.4985,0.1979,0.3443,0.3448,0.0006,0.9984,0.8069,7.9389,0.2163,0.4168,0.433,0.0161
27/2341,SlightPalsy,70.837,0.1519,0.1295,0.0224,0.8528,0.12,0.303,0.4726,0.1695,0.3372,0.3429,0.0056,0.9835,0.7848,8.7965,0.0182,0.4215,0.4367,0.0152
27/2346,SlightPalsy,71.321,0.1543,0.1329,0.0215,0.8608,0.1036,0.3195,0.4848,0.1654,0.3395,0.3474,0.0079,0.9771,0.8109,7.337,0.1304,0.4191,0.4373,0.0182
27/2351,SlightPalsy,71.91,0.1472,0.1308,0.0164,0.8886,0.0936,0.334,0.4824,0.1485,0.3351,0.3473,0.0122,0.9648,0.8217,6.5433,0.4409,0.4154,0.4337,0.0183
27/2356,SlightPalsy,71.966,0.1499,0.1313,0.0186,0.8759,0.1028,0.3307,0.4773,0.1466,0.3304,0.336,0.0056,0.9832,0.8144,7.2529,0.0756,0.4171,0.4371,0.02
27/236,SlightPalsy,72.417,0.1429,0.1384,0.0045,0.9683,0.0802,0.326,0.493,0.167,0.3284,0.3314,0.003,0.991,0.8229,5.5957,0.1415,0.4135,0.4344,0.021
27/2361,SlightPalsy,71.986,0.1484,0.1298,0.0186,0.8745,0.0913,0.3316,0.4742,0.1426,0.3338,0.3409,0.0071,0.9791,0.811,6.4652,0.4025,0.4185,0.436,0.0176
27/2366,SlightPalsy,71.642,0.1516,0.132,0.0197,0.8703,0.0974,0.3214,0.4821,0.1607,0.3332,0.3376,0.0044,0.9869,0.8094,6.9135,0.0701,0.4181,0.438,0.0199
27/2371,SlightPalsy,71.349,0.1484,0.1283,0.0201,0.8645,0.1025,0.3257,0.488,0.1622,0.3359,0.3394,0.0035,0.9897,0.8201,7.1827,0.0028,0.4178,0.4354,0.0177
27/2376,SlightPalsy,70.965,0.1097,0.0415,0.0682,0.3784,0.1062,0.3325,0.514,0.1815,0.3509,0.3488,0.002,0.9942,0.8532,7.1476,0.5052,0.4142,0.4406,0.0264
27/2381,SlightPalsy,70.293,0.1326,0.1091,0.0235,0.8231,0.0865,0.3288,0.4974,0.1686,0.3528,0.3551,0.0023,0.9934,0.8308,5.9761,0.2774,0.4213,0.4346,0.0133
27/2386,SlightPalsy,70.892,0.1414,0.1204,0.021,0.8515,0.0823,0.3194,0.4507,0.1313,0.3393,0.3447,0.0054,0.9845,0.7745,6.0961,0.1687,0.417,0.433,0.0159
27/2391,SlightPalsy,71.244,0.1458,0.1299,0.016,0.8905,0.0746,0.2977,0.4087,0.111,0.3307,0.3414,0.0107,0.9686,0.7103,6.0295,0.8494,0.4191,0.4397,0.0206
27/2396,SlightPalsy,71.455,0.1455,0.1278,0.0177,0.8783,0.0909,0.3041,0.4372,0.1331,0.3274,0.3297,0.0023,0.9931,0.7468,6.9919,0.1405,0.4224,0.4391,0.0167
27/2401,SlightPalsy,71.716,0.151,0.1356,0.0153,0.8984,0.0721,0.3108,0.4266,0.1158,0.3202,0.3304,0.0102,0.969,0.741,5.5825,0.4794,0.4222,0.44,0.0178
27/2406,SlightPalsy,71.594,0.1519,0.1336,0.0184,0.879,0.1118,0.3292,0.4887,0.1595,0.3364,0.3365,0.0001,0.9997,0.8255,7.7872,0.0456,0.4137,0.4282,0.0145
27/2411,SlightPalsy,71.373,0.1587,0.1347,0.024,0.8486,0.1345,0.3145,0.4873,0.1728,0.3264,0.3212,0.0052,0.9842,0.813,9.52,0.1596,0.4181,0.4334,0.0153
27/2416,SlightPalsy,71.355,0.1581,0.1343,0.0238,0.8493,0.1285,0.31,0.4796,0.1696,0.3247,0.3232,0.0015,0.9954,0.8,9.2408,0.0243,0.418,0.4295,0.0115
27/2421,SlightPalsy,71.54,0.1577,0.1368,0.0209,0.8673,0.1065,0.3167,0.4705,0.1537,0.3282,0.3307,0.0024,0.9926,0.7944,7.7073,0.0417,0.4153,0.4309,0.0155
27/2426,SlightPalsy,71.046,0.1194,0.0602,0.0592,0.5039,0.11,0.3038,0.4878,0.184,0.3401,0.339,0.0011,0.9967,0.7992,7.9088,0.2957,0.4133,0.4366,0.0233
27/2431,SlightPalsy,71.192,0.1411,0.1205,0.0206,0.8539,0.0879,0.3179,0.4622,0.1443,0.3358,0.3389,0.0031,0.9909,0.785,6.4296,0.2287,0.4167,0.4326,0.016
27/2436,SlightPalsy,71.416,0.1444,0.1246,0.0199,0.8624,0.0633,0.3293,0.4584,0.1291,0.3243,0.3308,0.0065,0.9804,0.7902,4.5913,0.4857,0.4169,0.4352,0.0183
27/2441,SlightPalsy,70.347,0.1523,0.1283,0.0241,0.842,0.122,0.3309,0.5012,0.1702,0.3386,0.3391,0.0004,0.9987,0.841,8.3388,0.4432,0.4198,0.4378,0.0181
27/2446,SlightPalsy,70.201,0.1552,0.1307,0.0245,0.8419,0.1226,0.3333,0.4999,0.1666,0.3417,0.3423,0.0007,0.998,0.8422,8.3709,0.3696,0.4189,0.4335,0.0146
27/2451,SlightPalsy,70.48,0.1552,0.1315,0.0237,0.8472,0.1224,0.327,0.4857,0.1587,0.3367,0.3361,0.0006,0.9981,0.8219,8.5673,0.2972,0.4172,0.4349,0.0176
27/2456,SlightPalsy,70.223,0.1492,0.1319,0.0173,0.884,0.0752,0.3178,0.4597,0.1419,0.3318,0.3402,0.0085,0.9751,0.7811,5.5231,0.5267,0.416,0.436,0.02
27/246,SlightPalsy,71.586,0.1125,0.0607,0.0518,0.5397,0.1043,0.3257,0.5207,0.1951,0.3406,0.3326,0.008,0.9766,0.8528,7.0254,0.7178,0.4223,0.4518,0.0295
27/2461,SlightPalsy,71.223,0.1097,0.0429,0.0668,0.3911,0.0858,0.29,0.4472,0.1572,0.3554,0.3548,0.0006,0.9984,0.7422,6.6359,0.0391,0.4184,0.4493,0.0309
27/2466,SlightPalsy,71.002,0.1075,0.0615,0.046,0.5722,0.0638,0.2897,0.4477,0.1581,0.3535,0.3434,0.0101,0.9714,0.7401,4.9433,0.5815,0.4242,0.453,0.0288
27/2476,SlightPalsy,72.462,0.1506,0.1285,0.0221,0.8531,0.1129,0.3412,0.4833,0.1421,0.3292,0.3189,0.0103,0.9687,0.8322,7.7958,0.3109,0.4217,0.4352,0.0134
27/2486,SlightPalsy,72.11,0.1554,0.1294,0.026,0.8327,0.1223,0.335,0.4843,0.1493,0.3196,0.3113,0.0083,0.9741,0.8284,8.4875,0.268,0.413,0.4301,0.0171
27/2491,SlightPalsy,71.914,0.1601,0.1292,0.0309,0.8071,0.1343,0.3174,0.4783,0.1609,0.3219,0.3101,0.0119,0.9631,0.8069,9.5816,0.1323,0.4197,0.4298,0.01
27/2496,SlightPalsy,71.915,0.1616,0.1316,0.03,0.8141,0.1288,0.3225,0.4782,0.1557,0.3218,0.3122,0.0095,0.9704,0.811,9.1352,0.0076,0.4215,0.4316,0.0101
27/2501,SlightPalsy,72.295,0.1599,0.1393,0.0206,0.8709,0.1209,0.3303,0.4786,0.1483,0.3234,0.3115,0.0119,0.9633,0.8179,8.5029,0.0476,0.4195,0.4336,0.014
27/2506,SlightPalsy,72.044,0.16,0.1397,0.0202,0.8737,0.1142,0.334,0.4799,0.1459,0.3256,0.313,0.0126,0.9613,0.8218,7.9907,0.119,0.4213,0.4365,0.0152
27/251,SlightPalsy,71.636,0.1348,0.1254,0.0094,0.9306,0.0714,0.3365,0.4794,0.1429,0.3296,0.3304,0.0008,0.9976,0.819,5.0031,0.1406,0.4214,0.4416,0.0202
27/2511,SlightPalsy,71.572,0.118,0.0576,0.0604,0.488,0.1157,0.3195,0.4963,0.1768,0.3414,0.3307,0.0107,0.9686,0.8239,8.0735,0.7961,0.4177,0.4377,0.02
27/2516,SlightPalsy,72.014,0.1483,0.1264,0.0219,0.8523,0.0935,0.3234,0.4516,0.1282,0.3246,0.321,0.0036,0.989,0.7806,6.8819,0.058,0.4175,0.4313,0.0138
27/2521,SlightPalsy,71.769,0.1476,0.1309,0.0167,0.8869,0.0967,0.3265,0.4688,0.1423,0.3203,0.3103,0.01,0.9688,0.8012,6.9324,0.271,0.4225,0.4382,0.0158
27/2526,SlightPalsy,71.899,0.1424,0.1251,0.0173,0.8785,0.0795,0.3332,0.4629,0.1297,0.3124,0.313,0.0006,0.9982,0.8,5.7064,0.6208,0.4215,0.442,0.0205
27/2531,SlightPalsy,71.63,0.1442,0.1271,0.017,0.882,0.0921,0.318,0.4856,0.1675,0.3238,0.3145,0.0093,0.9713,0.8088,6.5389,0.157,0.4174,0.4416,0.0242
27/2536,SlightPalsy,70.845,0.1291,0.0515,0.0776,0.3992,0.1222,0.326,0.5279,0.2019,0.3392,0.3236,0.0156,0.954,0.8626,8.1442,0.0054,0.4192,0.4385,0.0193
27/2541,SlightPalsy,71.533,0.1563,0.1211,0.0352,0.7751,0.117,0.3484,0.505,0.1566,0.3282,0.3115,0.0168,0.9488,0.8614,7.8089,0.2104,0.4236,0.4333,0.0097
27/2546,SlightPalsy,71.521,0.158,0.1243,0.0336,0.7871,0.1177,0.3428,0.5046,0.1617,0.3313,0.3144,0.0169,0.9491,0.8555,7.9046,0.0847,0.4238,0.432,0.0082
27/2551,SlightPalsy,71.596,0.1597,0.1196,0.0402,0.7485,0.1322,0.3238,0.4943,0.1706,0.3243,0.3064,0.018,0.9445,0.8287,9.1794,0.2446,0.4248,0.432,0.0072
27/2556,SlightPalsy,71.57,0.1598,0.121,0.0389,0.7567,0.1287,0.323,0.4978,0.1748,0.3267,0.3119,0.0147,0.9549,0.8309,8.9085,0.1768,0.4228,0.4334,0.0105
27/256,SlightPalsy,71.451,0.1442,0.1375,0.0067,0.9535,0.0686,0.3427,0.4715,0.1288,0.3238,0.3263,0.0025,0.9923,0.8171,4.8185,0.3052,0.4248,0.4501,0.0253
27/2561,SlightPalsy,70.808,0.1579,0.1239,0.034,0.785,0.1235,0.3254,0.5002,0.1748,0.3341,0.3227,0.0114,0.9659,0.8347,8.5095,0.4754,0.4172,0.4343,0.0171
27/2566,SlightPalsy,70.711,0.1536,0.1216,0.032,0.7914,0.1221,0.3262,0.5052,0.1789,0.3366,0.3274,0.0093,0.9725,0.8403,8.3573,0.5262,0.4143,0.4306,0.0163
27/2571,SlightPalsy,70.822,0.1529,0.124,0.0289,0.8112,0.1182,0.3333,0.4961,0.1628,0.3346,0.3258,0.0088,0.9737,0.8378,8.1135,0.6049,0.4144,0.4347,0.0202
27/2576,SlightPalsy,70.615,0.1543,0.1265,0.0278,0.8196,0.1152,0.3309,0.4868,0.1558,0.3364,0.3298,0.0066,0.9804,0.8258,8.0191,0.4209,0.4126,0.433,0.0204
27/2581,SlightPalsy,69.959,0.1192,0.03,0.0891,0.252,0.1613,0.3168,0.5178,0.201,0.3516,0.3417,0.0099,0.9718,0.85,10.9398,0.222,0.419,0.4494,0.0303
27/2586,SlightPalsy,70.002,0.1402,0.0987,0.0415,0.7041,0.1245,0.3107,0.4866,0.1759,0.3327,0.3299,0.0028,0.9916,0.8069,8.8784,0.3025,0.4221,0.4343,0.0122
27/2591,SlightPalsy,71.392,0.1068,0.0274,0.0794,0.2561,0.1315,0.3053,0.4995,0.1941,0.3542,0.3523,0.0019,0.9946,0.8154,9.2835,0.0915,0.4205,0.459,0.0385
27/2596,SlightPalsy,71.126,0.1436,0.1008,0.0428,0.702,0.1504,0.3387,0.5413,0.2025,0.328,0.3191,0.009,0.9727,0.8928,9.7014,0.3265,0.4275,0.4343,0.0068
27/26,SlightPalsy,66.577,0.1254,0.1403,0.0149,0.8941,0.04,0.3828,0.4801,0.0973,0.357,0.3649,0.0079,0.9784,0.8638,2.6551,0.1319,0.4306,0.4527,0.0221
27/2601,SlightPalsy,71.607,0.1529,0.1203,0.0326,0.7869,0.1577,0.3302,0.5124,0.1821,0.3249,0.312,0.0129,0.9604,0.8573,10.6005,0.0358,0.4279,0.4366,0.0087
27/2606,SlightPalsy,71.829,0.1535,0.1258,0.0277,0.8197,0.1395,0.3362,0.5059,0.1697,0.3279,0.3173,0.0106,0.9677,0.8536,9.4036,0.1008,0.4244,0.4398,0.0154
27/261,SlightPalsy,71.943,0.1478,0.1443,0.0035,0.9764,0.0613,0.3349,0.4601,0.1252,0.3249,0.3239,0.001,0.9968,0.7973,4.4128,0.1709,0.4262,0.4529,0.0266
27/2611,SlightPalsy,71.581,0.1572,0.1382,0.019,0.8789,0.1048,0.3432,0.5048,0.1616,0.3577,0.3792,0.0215,0.9434,0.8544,7.0479,0.6143,0.431,0.4418,0.0107
27/2616,SlightPalsy,71.578,0.1484,0.1341,0.0144,0.9031,0.1136,0.3244,0.4908,0.1663,0.3617,0.385,0.0233,0.9395,0.823,7.9351,0.2035,0.4203,0.4308,0.0105
27/2621,SlightPalsy,71.018,0.146,0.1242,0.0218,0.8508,0.1051,0.3285,0.5217,0.1933,0.3607,0.3845,0.0239,0.9379,0.8567,7.0454,0.3445,0.4209,0.4362,0.0152
27/2626,SlightPalsy,71.627,0.1457,0.1329,0.0128,0.9124,0.0898,0.3395,0.4918,0.1522,0.3745,0.41,0.0355,0.9134,0.8361,6.1655,0.3868,0.4171,0.4345,0.0174
27/2631,SlightPalsy,70.123,0.1019,0.0299,0.072,0.2933,0.1075,0.3286,0.4952,0.1666,0.3969,0.4435,0.0465,0.895,0.8308,7.4365,0.4593,0.4118,0.4519,0.0401
27/2636,SlightPalsy,71.069,0.1478,0.1349,0.0128,0.9132,0.1055,0.3502,0.497,0.1468,0.389,0.4262,0.0372,0.9128,0.8537,7.1007,0.0367,0.4182,0.4414,0.0233
27/2641,SlightPalsy,71.845,0.1646,0.152,0.0125,0.9238,0.0895,0.3755,0.5054,0.1299,0.3758,0.4159,0.0401,0.9037,0.8855,5.8011,0.904,0.4235,0.4487,0.0252
27/2646,SlightPalsy,72.243,0.1676,0.1567,0.0109,0.9351,0.096,0.3652,0.5003,0.1351,0.3708,0.4062,0.0354,0.9128,0.8708,6.3272,0.4697,0.4203,0.4464,0.0261
27/2651,SlightPalsy,71.706,0.1686,0.1584,0.0103,0.9392,0.0852,0.3749,0.5114,0.1364,0.3722,0.4112,0.039,0.9052,0.8904,5.4906,0.7848,0.4246,0.4525,0.0279
27/2656,SlightPalsy,71.067,0.1617,0.1516,0.0101,0.9374,0.0788,0.3077,0.4892,0.1816,0.377,0.4128,0.0358,0.9133,0.8008,5.6477,0.2539,0.4165,0.4455,0.029
27/266,SlightPalsy,71.79,0.153,0.1433,0.0096,0.9371,0.0688,0.3367,0.4562,0.1195,0.3292,0.3323,0.003,0.9909,0.7958,4.9604,0.3539,0.4259,0.4389,0.013
27/2661,SlightPalsy,68.423,0.1048,0.0225,0.0823,0.2144,0.0863,0.3106,0.5521,0.2414,0.4097,0.4451,0.0354,0.9204,0.867,5.713,0.9329,0.4113,0.4614,0.0501
27/2666,SlightPalsy,69.533,0.1367,0.1069,0.0298,0.7823,0.0919,0.3273,0.5198,0.1925,0.3813,0.411,0.0297,0.9276,0.852,6.1939,0.8243,0.4129,0.44,0.0271
27/2671,SlightPalsy,70.915,0.1441,0.1211,0.023,0.8405,0.0783,0.2986,0.4877,0.1892,0.3699,0.4005,0.0307,0.9234,0.7901,5.6861,0.5326,0.4116,0.4324,0.0208
27/2676,SlightPalsy,71.227,0.1469,0.127,0.0199,0.8647,0.0961,0.3086,0.469,0.1604,0.3582,0.3913,0.033,0.9156,0.7835,7.0447,0.5958,0.4117,0.432,0.0203
27/2681,SlightPalsy,71.385,0.1439,0.1221,0.0218,0.8484,0.0949,0.3052,0.4537,0.1486,0.3651,0.3995,0.0344,0.9139,0.7648,7.1291,0.7013,0.4081,0.4179,0.0098
27/2686,SlightPalsy,71.306,0.142,0.1217,0.0203,0.857,0.1021,0.3133,0.451,0.1377,0.3637,0.3996,0.0359,0.9102,0.7711,7.6097,0.5228,0.4146,0.4214,0.0067
27/2691,SlightPalsy,70.433,0.1495,0.1245,0.0251,0.8325,0.1366,0.3846,0.4651,0.0805,0.3768,0.4155,0.0388,0.9067,0.8606,9.1312,0.9529,0.433,0.4187,0.0143
27/2696,SlightPalsy,70.59,0.1503,0.1257,0.0246,0.8361,0.1441,0.3768,0.4459,0.0691,0.3844,0.4194,0.035,0.9165,0.8353,9.931,0.2022,0.4382,0.4136,0.0246
27/2701,SlightPalsy,71.637,0.1537,0.1349,0.0187,0.8782,0.1073,0.3944,0.4263,0.0319,0.3804,0.4283,0.0479,0.8882,0.8276,7.4521,0.7185,0.4364,0.4099,0.0265
27/2706,SlightPalsy,71.793,0.1553,0.1345,0.0207,0.8665,0.1234,0.4038,0.3828,0.021,0.3837,0.4289,0.0453,0.8944,0.7962,8.919,0.6599,0.445,0.3999,0.0451
27/271,SlightPalsy,71.656,0.152,0.1462,0.0057,0.9622,0.0644,0.3317,0.4389,0.1072,0.3442,0.3438,0.0004,0.9988,0.7732,4.7772,0.2152,0.4307,0.4437,0.0131
27/2711,SlightPalsy,71.91,0.157,0.1433,0.0137,0.9126,0.1192,0.4188,0.3514,0.0674,0.3667,0.4117,0.045,0.8906,0.7793,8.7989,1.1042,0.4566,0.4102,0.0464
27/2716,SlightPalsy,71.187,0.125,0.0918,0.0332,0.7344,0.1169,0.3634,0.4221,0.0587,0.3864,0.4282,0.0418,0.9024,0.7941,8.4625,0.3401,0.4395,0.419,0.0206
27/2721,SlightPalsy,71.453,0.1309,0.1108,0.0201,0.8463,0.1324,0.3591,0.4835,0.1243,0.3716,0.4082,0.0366,0.9103,0.853,8.93,0.718,0.433,0.4264,0.0067
27/2726,SlightPalsy,72.032,0.1531,0.1302,0.0228,0.8508,0.1503,0.3511,0.4896,0.1385,0.3582,0.3893,0.0311,0.92,0.854,10.1335,1.0768,0.4355,0.4251,0.0105
27/2731,SlightPalsy,72.013,0.1589,0.1332,0.0257,0.8382,0.1284,0.3386,0.4365,0.0979,0.3586,0.3927,0.0341,0.913,0.7857,9.4088,0.6336,0.4397,0.4287,0.0109
27/2736,SlightPalsy,72.07,0.1493,0.1291,0.0202,0.865,0.1518,0.3531,0.4633,0.1102,0.3647,0.3892,0.0245,0.9371,0.8304,10.5325,0.0159,0.4399,0.4309,0.0091
27/2741,SlightPalsy,72.604,0.1076,0.0208,0.0868,0.1934,0.1868,0.3367,0.5045,0.1678,0.3774,0.3999,0.0225,0.9438,0.8618,12.5202,0.2516,0.4359,0.4568,0.021
27/2746,SlightPalsy,71.771,0.1526,0.1237,0.0289,0.8107,0.1726,0.3645,0.472,0.1075,0.3652,0.3928,0.0277,0.9295,0.8541,11.6586,0.2858,0.4365,0.4303,0.0062
27/2751,SlightPalsy,72.183,0.15,0.1237,0.0263,0.8249,0.1626,0.3639,0.4874,0.1235,0.3639,0.3927,0.0288,0.9266,0.8667,10.8157,0.2549,0.4337,0.4285,0.0052
27/2756,SlightPalsy,71.741,0.1466,0.1147,0.0319,0.7825,0.1598,0.3653,0.5014,0.1361,0.3633,0.3919,0.0286,0.9271,0.8813,10.4441,0.8036,0.4235,0.4184,0.0051
27/276,SlightPalsy,71.328,0.1495,0.1393,0.0102,0.9318,0.0934,0.3387,0.4848,0.146,0.341,0.3376,0.0034,0.99,0.8288,6.4732,0.1135,0.4213,0.4386,0.0173
27/2761,SlightPalsy,71.03,0.1045,0.0175,0.087,0.1673,0.1856,0.3441,0.5242,0.18,0.3726,0.3874,0.0148,0.9617,0.8879,12.0645,0.3875,0.4261,0.4503,0.0242
27/2766,SlightPalsy,71.036,0.1292,0.0952,0.034,0.7365,0.1313,0.3482,0.4733,0.1251,0.3642,0.3795,0.0153,0.9598,0.832,9.0783,0.1314,0.4172,0.4204,0.0032
27/2771,SlightPalsy,70.916,0.1422,0.1106,0.0316,0.7777,0.1176,0.3628,0.4933,0.1306,0.3656,0.38,0.0144,0.962,0.8641,7.8242,0.1484,0.4254,0.4276,0.0023
27/2776,SlightPalsy,70.984,0.1383,0.1103,0.0279,0.7979,0.1035,0.3563,0.4819,0.1257,0.3705,0.3836,0.0131,0.9659,0.8445,7.0371,0.3276,0.4286,0.4289,0.0003
27/2781,SlightPalsy,70.949,0.1428,0.1133,0.0295,0.7936,0.1162,0.3493,0.4703,0.121,0.3678,0.3788,0.011,0.9709,0.8278,8.0714,0.2114,0.4355,0.4325,0.003
27/2786,SlightPalsy,71.205,0.1421,0.1143,0.0278,0.8044,0.1141,0.3613,0.4821,0.1208,0.3678,0.3796,0.0118,0.969,0.851,7.7076,0.2699,0.4316,0.4303,0.0014
27/2791,SlightPalsy,70.486,0.1172,0.0584,0.0589,0.4979,0.1591,0.3353,0.5035,0.1681,0.3845,0.3898,0.0052,0.9866,0.8538,10.742,0.3656,0.4283,0.4386,0.0103
27/2796,SlightPalsy,70.853,0.1402,0.1095,0.0307,0.7812,0.1417,0.3228,0.4805,0.1577,0.3686,0.3864,0.0178,0.9539,0.8157,10.006,0.2587,0.4289,0.4296,0.0007
27/2801,SlightPalsy,71.103,0.1464,0.1173,0.0291,0.8013,0.1358,0.3265,0.4813,0.1548,0.3586,0.3783,0.0197,0.948,0.8192,9.5401,0.4613,0.4242,0.4283,0.004
27/2806,SlightPalsy,71.172,0.1434,0.1126,0.0308,0.785,0.0918,0.3136,0.4416,0.1279,0.3611,0.3834,0.0223,0.9419,0.7608,6.9329,0.6025,0.4275,0.4351,0.0076
27/281,SlightPalsy,71.149,0.1322,0.1025,0.0298,0.7749,0.1043,0.3281,0.4794,0.1513,0.3524,0.3549,0.0025,0.993,0.8141,7.3588,0.1958,0.4224,0.4258,0.0034
